id,day_order_num,p0,p1,p2,json,timestamp,date
194,56,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:16:13.048Z""}",20:16:13.054850,19.08.2023
195,57,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:17:51.028Z""}",20:17:51.042710,19.08.2023
196,58,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:20:07.039Z""}",20:20:07.046218,19.08.2023
197,59,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:22:08.004Z""}",20:22:08.012034,19.08.2023
198,60,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T18:25:51.267Z""}",20:25:51.274071,19.08.2023
199,61,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:26:33.387Z""}",20:26:33.394346,19.08.2023
200,62,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:27:12.807Z""}",20:27:12.813756,19.08.2023
201,63,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:37:58.928Z""}",20:37:58.935378,19.08.2023
202,64,3,0,0,"{""0"":3,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:41:17.152Z""}",20:41:17.163354,19.08.2023
203,65,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:42:14.280Z""}",20:42:14.286406,19.08.2023
204,66,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T18:42:39.467Z""}",20:42:39.474044,19.08.2023
205,67,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:46:49.315Z""}",20:46:49.322897,19.08.2023
206,68,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T18:47:55.620Z""}",20:47:55.631915,19.08.2023
207,69,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-19T18:49:13.335Z""}",20:49:13.343245,19.08.2023
208,70,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:57:20.291Z""}",20:57:20.298739,19.08.2023
209,71,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T18:58:58.391Z""}",20:58:58.398425,19.08.2023
210,72,3,0,0,"{""0"":3,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:04:47.316Z""}",21:04:47.328191,19.08.2023
211,73,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:10:29.875Z""}",21:10:29.882754,19.08.2023
212,74,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:12:48.278Z""}",21:12:48.289195,19.08.2023
213,75,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:13:40.323Z""}",21:13:40.330413,19.08.2023
214,76,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:17:13.932Z""}",21:17:13.939899,19.08.2023
215,77,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-19T19:17:36.035Z""}",21:17:36.041530,19.08.2023
216,78,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-19T19:20:27.427Z""}",21:20:27.433637,19.08.2023
217,79,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:28:05.023Z""}",21:28:05.030326,19.08.2023
218,80,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:28:44.163Z""}",21:28:44.170436,19.08.2023
219,81,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:29:29.943Z""}",21:29:29.953843,19.08.2023
220,82,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:30:26.259Z""}",21:30:26.269375,19.08.2023
221,83,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-19T19:31:15.099Z""}",21:31:15.107558,19.08.2023
222,84,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T19:36:41.147Z""}",21:36:41.154324,19.08.2023
223,85,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:38:22.475Z""}",21:38:22.482392,19.08.2023
224,86,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T19:39:12.263Z""}",21:39:12.270212,19.08.2023
225,87,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T19:43:18.791Z""}",21:43:18.799414,19.08.2023
226,88,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T19:44:46.123Z""}",21:44:46.129654,19.08.2023
227,89,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T19:46:05.247Z""}",21:46:05.254142,19.08.2023
228,90,4,0,0,"{""0"":4,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:46:24.280Z""}",21:46:24.286753,19.08.2023
229,91,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:46:44.291Z""}",21:46:44.299096,19.08.2023
230,92,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T19:46:59.539Z""}",21:46:59.545548,19.08.2023
231,93,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T20:02:53.355Z""}",22:02:53.366320,19.08.2023
232,94,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T20:18:40.419Z""}",22:18:40.425926,19.08.2023
233,95,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T20:33:08.575Z""}",22:33:08.586898,19.08.2023
234,96,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T20:44:17.567Z""}",22:44:17.575489,19.08.2023
235,97,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:03:59.855Z""}",23:03:59.867545,19.08.2023
236,98,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-19T21:04:16.339Z""}",23:04:16.349101,19.08.2023
237,99,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:12:16.843Z""}",23:12:16.851871,19.08.2023
238,100,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:14:23.478Z""}",23:14:23.489545,19.08.2023
239,101,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T21:14:34.035Z""}",23:14:34.041880,19.08.2023
240,102,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T21:18:31.347Z""}",23:18:31.360204,19.08.2023
241,103,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:21:56.243Z""}",23:21:56.250419,19.08.2023
242,104,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:23:26.179Z""}",23:23:26.185953,19.08.2023
243,105,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:24:33.159Z""}",23:24:33.166641,19.08.2023
244,106,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:25:47.771Z""}",23:25:47.777877,19.08.2023
245,107,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:26:55.675Z""}",23:26:55.683311,19.08.2023
246,108,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:32:58.335Z""}",23:32:58.346877,19.08.2023
247,109,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:39:16.148Z""}",23:39:16.165040,19.08.2023
248,110,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:40:46.784Z""}",23:40:46.791348,19.08.2023
249,111,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:41:53.879Z""}",23:41:53.886434,19.08.2023
250,112,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:43:33.248Z""}",23:43:33.254525,19.08.2023
251,113,0,0,2,"{""0"":0,""1"":0,""2"":2,""timestamp"":""2023-08-19T21:45:23.544Z""}",23:45:23.551809,19.08.2023
252,114,2,0,1,"{""0"":2,""1"":0,""2"":1,""timestamp"":""2023-08-19T21:51:16.295Z""}",23:51:16.302264,19.08.2023
253,115,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T21:19:45.139Z""}",23:19:45.146196,19.08.2023
254,1,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-20T09:11:00.377Z""}",11:11:00.390772,20.08.2023
255,2,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-20T09:58:51.974Z""}",11:58:51.983690,20.08.2023
256,3,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-20T10:13:28.513Z""}",12:13:28.519500,20.08.2023
257,4,4,0,1,"{""0"":4,""1"":0,""2"":1,""timestamp"":""2023-08-20T10:45:19.037Z""}",12:45:19.043662,20.08.2023
258,5,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-20T10:50:12.029Z""}",12:50:12.036527,20.08.2023
259,6,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-20T10:56:10.564Z""}",12:56:10.575087,20.08.2023
260,7,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-20T10:57:49.814Z""}",12:57:49.825688,20.08.2023
261,8,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-20T10:59:26.626Z""}",12:59:26.632016,20.08.2023
262,9,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-20T11:05:01.141Z""}",13:05:01.147999,20.08.2023
263,10,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-20T11:07:50.701Z""}",13:07:50.707630,20.08.2023
264,11,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-20T11:11:07.221Z""}",13:11:07.228953,20.08.2023
265,12,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-20T11:14:54.057Z""}",13:14:54.064701,20.08.2023
266,13,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-20T11:15:18.105Z""}",13:15:18.119395,20.08.2023
